대명에너지|2022/03/16|-|%|-|-%|-|%|예정
지투파워|2022/03/14|-|%|-|-%|-|%|예정
브이씨|2022/02/24|-|%|-|-%|-|%|예정
바이오에프디엔씨|2022/02/21|-|%|28000|-%|-|%|예정
한국스팩10호|2022/02/21|-|%|2000|-%|-|%|예정
인카금융서비스|2022/02/16|-|%|18000|-%|-|%|예정
나래나노텍|2022/02/08|-|%|17500|-%|-|%|예정
아셈스|2022/02/07|-|%|8000|-%|-|%|예정
핑거|2021/01/29|19350|6.32%|16000|20.94%|32000|100%|29100
씨앤투스성진|2021/01/28|5980|2.57%|32000|-81.31%|31700|-0.94%|28700
모비릭스|2021/01/28|17650|3.22%|14000|26.07%|28000|100%|36400
선진뷰티사이언스|2021/01/27|12700|2.42%|11500|10.43%|23000|100%|29900
엔비티|2021/01/21|17850|1.42%|19000|-6.05%|38000|100%|36500
한국스팩9호|2021/01/21|2910|0.00%|2000|45.5%|2020|1%|2030
유안타스팩7호|2020/12/28|2175|2.11%|2000|8.75%|2010|0.5%|2005
지놈앤컴퍼니|2020/12/23|28800|2.86%|40000|-28%|80000|100%|68800
대신밸런스스팩9호|2020/12/23|4395|4.39%|2000|119.75%|2020|1%|2050
석경에이티|2020/12/23|14300|5.54%|10000|43%|20000|100%|26000
이에스알켄달스퀘어리츠|2020/12/23|5820|0.17%|5000|16.4%|4970|-0.6%|5190
프리시젼바이오|2020/12/22|10300|9.57%|12500|-17.6%|25000|100%|32500
알체라|2020/12/21|26450|2.92%|10000|164.5%|20000|100%|26000
엔에이치스팩18호|2020/12/21|2120|0.71%|2000|6%|2025|1.25%|2025
에프앤가이드|2020/12/17|10000|0.70%|7000|42.86%|14000|100%|12850
에이치엠씨아이비스팩5호|2020/12/16|2085|0.00%|2000|4.25%|2000|0%|-
티엘비|2020/12/14|34400|4.72%|38000|-9.47%|75900|99.74%|54500
인바이오|2020/12/11|7000|1.45%|5800|20.69%|11600|100%|12200
엔젠바이오|2020/12/10|11550|10.00%|14000|-17.5%|28000|100%|25650
퀀타매트릭스|2020/12/09|8060|4.00%|25500|-68.39%|25050|-1.76%|24100
디비금융스팩8호|2020/12/09|2125|0.00%|2000|6.25%|1985|-0.75%|1985
명신산업|2020/12/07|23950|1.05%|6500|268.46%|13000|100%|16900
클리노믹스|2020/12/04|11100|3.74%|13900|-20.14%|18500|33.09%|19000
포인트모바일|2020/12/03|16550|1.53%|15000|10.33%|30000|100%|30550
엔에프씨|2020/12/02|11300|2.73%|13400|-15.67%|20700|54.48%|16950
앱코|2020/12/02|14050|-0.35%|24300|-42.18%|30150|24.07%|28900
제일전기공업|2020/11/26|15000|3.45%|17000|-11.76%|34000|100%|28650
하나기술|2020/11/25|64500|-0.31%|35000|84.29%|70000|100%|91000
티앤엘|2020/11/20|39400|4.23%|36000|9.44%|72000|100%|54000
에이플러스에셋어드바이저|2020/11/20|7820|3.30%|7500|4.27%|8100|8%|6880
고바이오랩|2020/11/18|17600|2.03%|15000|17.33%|30000|100%|31300
네패스아크|2020/11/17|45950|4.91%|26500|73.4%|36200|36.6%|38700
교촌에프앤비|2020/11/12|13400|0.75%|12300|8.94%|23850|93.9%|31000
소룩스|2020/11/06|11950|0.00%|10000|19.5%|20000|100%|26000
위드텍|2020/10/30|16350|4.81%|25000|-34.6%|37100|48.4%|41100
센코|2020/10/29|14300|2.14%|13000|10%|13350|2.69%|15250
바이브컴퍼니|2020/10/28|49850|6.40%|28000|78.04%|40000|42.86%|31300
미코바이오메드|2020/10/22|8140|14.81%|15000|-45.73%|16100|7.33%|13700
피플바이오|2020/10/19|11150|5.19%|20000|-44.25%|18000|-10%|23400
하이브(구.빅히트)|2020/10/15|237000|-1.86%|135000|75.56%|270000|100%|258000
넥스틴|2020/10/08|60800|5.56%|75400|-19.36%|71100|-5.7%|71600
원방테크|2020/09/24|12800|1.19%|54300|-76.43%|48900|-9.94%|43700
엔에이치스팩17호|2020/09/23|1865|2.19%|2000|-6.75%|2005|0.25%|1995
비나텍|2020/09/23|37850|1.61%|33000|14.7%|44000|33.33%|40750
박셀바이오|2020/09/22|34250|7.20%|30000|14.17%|27000|-10%|21300
비비씨|2020/09/21|12600|0.00%|30700|-58.96%|27650|-9.93%|22300
교보스팩10호|2020/09/18|2115|0.24%|2000|5.75%|2020|1%|2005
핌스|2020/09/18|29300|7.72%|19000|54.21%|21000|10.53%|18300
압타머사이언스|2020/09/16|12600|7.69%|25000|-49.6%|28850|15.4%|27750
이오플로우|2020/09/14|22200|8.29%|19000|16.84%|21750|14.47%|20000
카카오게임즈|2020/09/10|65700|0.00%|24000|173.75%|48000|100%|62400
피엔케이피부임상연구센타|2020/09/09|16550|0.30%|18300|-9.56%|28000|53.01%|26800
코람코에너지플러스리츠|2020/08/31|6230|-0.32%|5000|24.6%|4800|-4%|4735
미래에셋대우스팩5호|2020/08/28|2125|1.67%|2000|6.25%|2000|0%|2010
아이디피|2020/08/24|7750|0.13%|9800|-20.92%|13200|34.69%|12500
셀레믹스|2020/08/21|11200|4.67%|20000|-44%|24900|24.5%|25800
미투젠|2020/08/18|18500|3.06%|27000|-31.48%|29100|7.78%|25500
브랜드엑스코퍼레이션|2020/08/13|8110|-2.05%|13000|-37.62%|12900|-0.77%|11700
영림원소프트랩|2020/08/12|9920|3.33%|11500|-13.74%|17600|53.04%|13650
한국파마|2020/08/10|36200|7.42%|9000|302.22%|18000|100%|16850
제이알글로벌리츠|2020/08/07|5230|0.77%|5000|4.6%|4700|-6%|4825
이루다|2020/08/06|9660|2.77%|9000|7.33%|18000|100%|17650
이지스레지던스리츠|2020/08/05|5170|0.78%|5000|3.4%|4500|-10%|4190
미래에셋맵스리츠1호|2020/08/05|4810|0.73%|5000|-3.8%|4500|-10%|4350
와이팜|2020/07/31|6080|11.15%|11000|-44.73%|15550|41.36%|18800
이엔드디|2020/07/30|24100|0.00%|14400|67.36%|18200|26.39%|21000
엠투아이|2020/07/29|9990|4.61%|15600|-35.96%|18850|20.83%|15900
에이치엠씨아이비스팩4호|2020/07/29|2080|0.24%|2000|4%|2010|0.5%|2000
더네이쳐홀딩스|2020/07/27|27550|0.92%|46000|-40.11%|41400|-10%|43000
제놀루션|2020/07/24|13700|9.16%|14000|-2.14%|28000|100%|24750
솔트룩스|2020/07/23|16000|3.56%|25000|-36%|40000|60%|34300
하나금융스팩16호|2020/07/23|2130|0.71%|2000|6.5%|2020|1%|2020
티에스아이|2020/07/22|11850|1.28%|10000|18.5%|20000|100%|17200
이지스밸류플러스리츠|2020/07/16|5620|-0.53%|5000|12.4%|4800|-4%|4410
에이프로|2020/07/16|32950|-1.49%|21600|52.55%|43200|100%|56100
IBKS스팩13호|2020/07/15|2125|0.00%|2000|6.25%|2010|0.5%|2010
소마젠|2020/07/13|7040|5.55%|11000|-36%|11650|5.91%|15100
신도기연|2020/07/06|14400|2.13%|16000|-10%|32000|100%|22400
위더스제약|2020/07/03|9720|6.58%|15900|-38.87%|31800|100%|34400
SK바이오팜|2020/07/02|75800|3.55%|49000|54.69%|98000|100%|127000
마크로밀엠브레인|2020/07/01|8620|3.86%|6800|26.76%|13600|100%|16050
젠큐릭스|2020/06/25|14600|0.00%|22700|-35.68%|25100|10.57%|21650
IBKS스팩14호|2020/06/22|5140|1.58%|2000|157%|2010|0.5%|2010
엘이티|2020/06/22|19550|12.03%|7800|150.64%|15600|100%|20250
에스씨엠생명과학|2020/06/17|15000|9.89%|17000|-11.76%|29500|73.53%|36100
엔에이치스팩16호|2020/06/17|1725|0.29%|2000|-13.75%|2005|0.25%|2005
드림씨아이에스|2020/05/22|10400|0.48%|14900|-30.2%|28000|87.92%|30500
이베스트스팩5호|2020/05/20|2095|0.72%|2000|4.75%|2000|0%|2000
케이프이에스스팩4호|2020/03/24|2070|0.49%|2000|3.5%|2005|0.25%|1980
엔피디|2020/03/16|2800|2.75%|5400|-48.15%|4860|-10%|3775
플레이디|2020/03/12|6400|3.90%|8500|-24.71%|11250|32.35%|8800
에스케이스팩6호|2020/03/11|2065|-0.48%|2000|3.25%|2025|1.25%|2010
서울바이오시스|2020/03/06|11650|3.56%|7500|55.33%|13000|73.33%|11100
제이앤티씨|2020/03/04|6740|4.82%|11000|-38.73%|10200|-7.27%|10350
켄코아에어로스페이스|2020/03/03|11950|5.29%|10000|19.5%|11500|15%|10250
레몬|2020/02/28|4545|3.65%|7200|-36.88%|8620|19.72%|10400
서남|2020/02/20|3295|0.76%|3100|6.29%|3900|25.81%|4750
신영스팩6호|2020/02/12|2110|0.00%|2000|5.5%|2000|0%|2010
위세아이텍|2020/02/10|15000|1.01%|12000|25%|13900|15.83%|12400
하나금융스팩15호|2020/01/30|2130|1.19%|2000|6.5%|2000|0%|2000
케이비스팩20호|2020/01/30|2060|0.49%|2000|3%|2000|0%|2000
한화플러스스팩1호|2019/12/27|2265|2.03%|2000|13.25%|2005|0.25%|2000
피피아이|2019/12/26|3915|1.16%|7000|-44.07%|11000|57.14%|9630
천랩|2019/12/26|41500|7.93%|40000|3.75%|42950|7.38%|38500
엔에이치스팩15호|2019/12/24|3145|2.28%|2000|57.25%|2000|0%|2000
메탈라이프|2019/12/24|13300|9.02%|13000|2.31%|26000|100%|33800
하이스팩5호|2019/12/23|2355|0.00%|2000|17.75%|2000|0%|2005
브릿지바이오테라퓨틱스|2019/12/20|11200|4.67%|60000|-81.33%|62400|4%|54300
메드팩토|2019/12/19|34800|8.41%|40000|-13%|40000|0%|35900
대신밸런스스팩8호|2019/12/19|2675|0.00%|2000|33.75%|2005|0.25%|2005
유안타스팩6호|2019/12/19|1910|2.69%|2000|-4.5%|2005|0.25%|2000
신테카바이오|2019/12/17|14150|4.04%|12000|17.92%|14950|24.58%|16700
제이엘케이인스펙션|2019/12/11|7130|3.48%|9000|-20.78%|8500|-5.56%|9000
태웅로직스|2019/12/10|7690|5.78%|4500|70.89%|8170|81.56%|6110
IBKS스팩12호|2019/12/09|2135|0.71%|2000|6.75%|2040|2%|2050
리메드|2019/12/06|20300|4.10%|13000|56.15%|14100|8.46%|13450
에스케이스팩5호|2019/12/05|2055|-0.24%|2000|2.75%|2010|0.5%|2010
엔에이치프라임리츠|2019/12/05|4590|0.55%|5000|-8.2%|5000|0%|6500
IBKS스팩11호|2019/12/03|2160|2.61%|2000|8%|2005|0.25%|2010
코리아센터|2019/11/29|6100|5.17%|18000|-66.11%|23000|27.78%|22850
유안타스팩5호|2019/11/28|3045|3.05%|2000|52.25%|2145|7.25%|2010
노터스|2019/11/27|25500|0.59%|20000|27.5%|29750|48.75%|36500
센트랄모텍|2019/11/25|19400|2.11%|6000|223.33%|7650|27.5%|9940
티움바이오|2019/11/22|16600|6.07%|12000|38.33%|11800|-1.67%|13450
씨에스베어링|2019/11/21|12750|3.66%|8400|51.79%|8400|0%|8950
코리아에셋투자증권|2019/11/20|10250|1.49%|10000|2.5%|9900|-1%|8290
우양|2019/11/20|5480|3.01%|4200|30.48%|6060|44.29%|4785
