KOSPI|007590|동방아그로|농약제조업체|68억원|2002.11.20
UNLISTED|079240|선일공업|레미콘제조업|17억원|2005.06.29
UNLISTED|045810|하이월드|컴퓨터및소프트웨어소매업|3억원|2003.05.22
KONEX|308700|테크엔|전구및조명장치제조업|4억원|2018.12.04
KOSDAQ|080220|제주반도체|전자집적회로제조업|125억원|2004.11.22
UNLISTED|826960|한솔이엠이|환경컨설팅및관련엔지니어링서비스업|0억원|2012.02.03
KOSDAQ|134580|디엠티|방송장비제조업|56억원|2011.02.08
UNLISTED|812320|스킨푸드|화장품도매업|0억원|2012.02.03
UNLISTED|019560|한국투자파트너스(구.동원창투)|기타투자기관|0억원|2002.09.12
KOSDAQ|094860|네오리진(구.코닉글로리)|시스템소프트웨어개발및공급업|54억원|2007.11.15
UNLISTED|259290|폴루스|의료용물질및의약품제조업|249억원|2017.11.30
UNLISTED|338580|씨케이앤비|전자카드제조업|33억원|2020.09.15
UNLISTED|104730|한국지오에너지|가공공작기계제조업|8억원|2010.07.15
KOSPI|092200|디아이씨|기타자동차부품제조업|109억원|2007.10.18
UNLISTED|006250|극동전선|절연금속선및케이블제조업|67억원|2007.09.04
UNLISTED|826952|한솔섬유|기타봉제의복제조업|120억원|2012.02.03
UNLISTED|356430|네오탑|그외기타의료용기기제조업|2억원|2021.01.04
UNLISTED|951300|메디튤립|의학및약학연구개발업|0억원|2020.06.30
UNLISTED|061050|지앤디윈텍|통신방송장비|67억원|2003.02.09
UNLISTED|951301|메디히어|포털및기타인터넷정보매개서비스업|0억원|2020.06.30
KOSDAQ|205470|휴마시스|의료용품및기타의약관련제품제조업|26억원|2015.01.21
UNLISTED|340890|포에스텍|응용소프트웨어개발및공급업|5억원|2020.12.18
UNLISTED|020540|한컴통(구.한국컴퓨터통신)|기타소프트웨어자문개발및공급업|86억원|2007.11.26
UNLISTED|950019|옵테론|유선통신기기제조업|8억원|2007.12.12
UNLISTED|951348|아이원바이오|치과용기기제조업|0억원|2020.07.27
UNLISTED|951349|아폴로플래닛앤컨텐츠|응용소프트웨어개발및공급업|0억원|2020.07.28
KOSDAQ|102120|어보브반도체|다이오드트랜지스터및유사반도체소자제조업|87억원|2008.11.05
KOSPI|001420|태원물산|시멘트용인산정제석고와승용차용워터펌프제조|38억원|2003.09.25
UNLISTED|951346|아이메디컴|정형외과용및신체보정용기기제조업|0억원|2020.07.24
UNLISTED|099660|신텍(구.한솔신텍)|핵반응기및증기보일러제조업|320억원|2008.04.25
UNLISTED|368420|큐린바이오|그외기타달리분류되지않은제품제조업|13억원|2020.11.05
KOSDAQ|153710|옵티팜|의료용품및기타의약관련제품제조업|71억원|2018.01.19
UNLISTED|087680|신스틸|기타1차철강제조업|20억원|2012.02.03
UNLISTED|038700|제너시스비비큐|상품종합도매업|154억원|2012.02.03
KOSDAQ|115440|우리넷|유선통신장비제조업|32억원|2009.11.02
UNLISTED|296290|이뮨메드|의료용품및기타의약관련제품제조업|73억원|2015.06.24
UNLISTED|085010|씨유건설(구.한국통신산업개발)|아파트건설업|70억원|2005.06.29
UNLISTED|951355|애니펜|응용소프트웨어개발및공급업|0억원|2020.07.29
UNLISTED|950023|청호나이스|액체여과기제조업|104억원|2007.12.12
UNLISTED|951356|엘골인바이오|유선통신업|0억원|2020.07.29
UNLISTED|950022|코윈텍|발전기및전기변환장치제조업|29억원|2007.12.12
UNLISTED|099670|강남캐피탈|그외기타여신금융업|15억원|2007.11.15
UNLISTED|950025|아이셋|소프트웨어개발및하드웨어판매|40억원|2007.12.13
UNLISTED|951354|스페이스워크|시스템소프트웨어개발및공급업|0억원|2020.07.29
UNLISTED|950024|비티오|PC주변기기제조판매|2억원|2007.12.13
KOSPI|002760|보락|식품첨가물및의약품제조기업|120억원|2003.09.25
UNLISTED|951351|코렌스알티엑스|그외기타분류안된화학제품제조업|0억원|2020.07.28
UNLISTED|951352|알포터|알루미늄압연압출및연신제품제조업|0억원|2020.07.28
UNLISTED|950021|코리아토바코컴퍼니|담배제품제조업|11억원|2007.12.12
UNLISTED|951350|안다르|여자용겉옷제조업|0억원|2020.07.28
UNLISTED|104790|케이프투자증권(구.엘아이지투자증권)|증권및선물중개업|1700억원|2010.04.21
UNLISTED|951359|올리브헬스케어|그외기타의료용기기제조업|0억원|2020.08.05
UNLISTED|950027|엑시아머티리얼스(구.폴리머스넷)|플라스틱물질제조업|24억원|2007.12.17
UNLISTED|951357|에이엠사이언스|의학및약학연구개발업|0억원|2020.07.31
UNLISTED|950029|찬성에너지|가정용비전기식조리및난방기구제조업|0억원|2007.12.17
UNLISTED|087690|엠쓰리모바일(구.모바일컴피아)|무선및위성통신업|12억원|2012.11.06
K_OTC|038710|콜마파마|완제의약품제조업|110억원|2002.11.20
KOSDAQ|357780|솔브레인|기타화학제품제조업|39억원|2020.08.06
UNLISTED|055280|킹스정보통신|시스템소프트웨어개발및공급업|0억원|2011.11.16
