두산엔진|19300|대우증권|2010.12.15~12.16|2010.12.15|2010.12.16|2010.12.15|17200~20900|17200~20900|17200~20900|202650|202650||-|2010.12.21~12.22|2010.12.21|2010.12.22|47.29:1|true|true|true|true|2011/01/04|-|%|%|22350|15.8%|25700
아이원스|4500|우리투자증권|2013.01.22~01.23|2013.01.22|2013.01.23|2013.01.22|4300~4800|4300~4800|4300~4800|9884|9884||-|2013.01.28~01.29|2013.01.28|2013.01.29|638.66:1|true|true|true|true|2013/02/07|-|%|%|5500|22.22%|5200
우양에이치씨|5500|한화증권|2012.07.10~07.11|2012.07.10|2012.07.11|2012.07.10|4000~6500|4000~6500|4000~6500|13915|13915||-|2012.07.18~07.19|2012.07.18|2012.07.19|5.64:1|true|true|true|true|2012/07/26|-|%|%|4950|-10%|5170
케이비스팩9호|2000|케이비투자증권|2016.02.15~02.16|2016.02.15|2016.02.16|2016.02.15|2000~2000|2000~2000|2000~2000|27000|27000||-|2016.02.18~02.19|2016.02.18|2016.02.19|0.24:1|true|true|true|true|2016/02/29|-|%|%|1975|-1.25%|1975
네오펙트|11000|한국투자증권,삼성증권|2018.11.12~11.13|2018.11.12|2018.11.13|2018.11.12|10000~12500|10000~12500|10000~12500|18000|18000|338.01:1|0.89%|2018.11.19~11.20|2018.11.19|2018.11.20|400.8:1|true|true|true|true|2018/11/28|2985|4.37%|-72.86%|9900|-10%|7700
픽셀플러스|30000|한국투자증권|2015.05.26~05.27|2015.05.26|2015.05.27|2015.05.26|33000~37000|33000~37000|33000~37000|33000|33000|131.67:1|2.25%|2015.06.02~06.03|2015.06.02|2015.06.03|68.09:1|true|true|true|true|2015/06/12|-|%|%|27000|-10%|29000
다나와|14000|한국투자증권|2011.01.06~01.07|2011.01.06|2011.01.07|2011.01.06|12000~14000|12000~14000|12000~14000|20141|20141||-|2011.01.13~01.14|2011.01.13|2011.01.14|672.02:1|true|true|true|true|2011/01/24|-|%|%|25800|84.29%|21950
우노앤컴퍼니|6500|SK증권|2009.12.28~12.29|2009.12.28|2009.12.29|2009.12.28|7000~10000|7000~10000|7000~10000|16945|16945||-|2010.01.05~01.06|2010.01.05|2010.01.06|562.95:1|true|true|true|true|2010/01/15|-|%|%|5850|-10%|6720
신한스팩3호|2000|신한금융투자|2017.02.09~02.10|2017.02.09|2017.02.10|2017.02.09|2000~2000|2000~2000|2000~2000|6000|6000||-|2017.02.14~02.15|2017.02.14|2017.02.15|0.27:1|true|true|true|true|2017/02/23|-|%|%|2010|0.5%|1980
핸즈코퍼레이션|12000|케이비투자증권,삼성증권|2016.11.15~11.16|2016.11.15|2016.11.16|2016.11.15|12000~14000|12000~14000|12000~14000|65784|65784|57.64:1|1.73%|2016.11.22~11.23|2016.11.22|2016.11.23|6.99:1|true|true|true|true|2016/12/02|5020|0.40%|-58.17%|10800|-10%|9100
유안타스팩4호|2000|유안타증권|2019.03.04~03.05|2019.03.04|2019.03.05|2019.03.04|2000~2000|2000~2000|2000~2000|8200|8200||-|2019.03.11~03.12|2019.03.11|2019.03.12|1.81:1|true|true|true|true|2019/03/21|-|%|%|2005|0.25%|2000
피코그램|12500|IBK투자증권|2021.10.19~10.20|2021.10.19|2021.10.20|2021.10.19|11000~12500|11000~12500|11000~12500|11000|11000|1472.19:1|12.96%|2021.10.25~10.26|2021.10.25|2021.10.26|1520.35:1|true|true|true|true|2021/11/03|16300|3.16%|30.4%|25000|100%|18600
에이제이네트웍스|34300|한국투자증권,미래에셋증권,신영증권|2015.08.04~08.05|2015.08.04|2015.08.05|2015.08.04|30200~34300|30200~34300|30200~34300|69460|69460|197.15:1|20.06%|2015.08.10~08.11|2015.08.10|2015.08.11|83.3:1|true|true|true|true|2015/08/21|-|%|%|30900|-9.91%|35500
에이테크솔루션|5400|현대증권|2009.03.25~03.26|2009.03.25|2009.03.26|2009.03.25|5000~5800|5000~5800|5000~5800|2700|2700||-|2009.04.06~04.07|2009.04.06|2009.04.07|1495:1|true|true|true|true|2009/04/17|-|%|%|10800|100%|12400
세틀뱅크|55000|한국투자증권,신한금융투자|2019.06.27~06.28|2019.06.27|2019.06.28|2019.06.27|44000~49000|44000~49000|44000~49000|63668|63668|1122:1|14.80%|2019.07.04~07.05|2019.07.04|2019.07.05|309.6:1|true|true|true|true|2019/07/12|26900|4.47%|-51.09%|49500|-10%|51600
더블유게임즈|65000|한국투자증권,대우증권|2015.10.19~10.20|2015.10.19|2015.10.20|2015.10.19|51000~61000|51000~61000|51000~61000|217894|217894|413.82:1|14.66%|2015.10.26~10.27|2015.10.26|2015.10.27|241.18:1|true|true|true|true|2015/11/04|-|%|%|65100|0.15%|62500
유니테스트|22000|동양증권|2006.11.14~-|2006.11.14|null|2006.11.14|23000~26000|23000~26000|23000~26000|168225|168225||71.33%|2006.11.22~11.24|2006.11.22|2006.11.24|659.01:1|true|true|true|true|2006/12/05|-|%|%|28000|27.27%|23800
롯데렌탈|59000|NH투자증권,한국투자증권,KB증권,미래에셋증권,삼성증권,신한금융,키움증권,하나금융|2021.08.03~08.04|2021.08.03|2021.08.04|2021.08.03|47000~59000|47000~59000|47000~59000|677834|677834|217.63:1|14.65%|2021.08.09~08.10|2021.08.09|2021.08.10|65.81:1|true|true|true|true|2021/08/19|31400|0.80%|-46.78%|57500|-2.54%|55500
에이치디시에스|15000|하이투자증권|2010.01.14~01.15|2010.01.14|2010.01.15|2010.01.14|11000~15000|11000~15000|11000~15000|10999|10999||-|2010.01.21~01.22|2010.01.21|2010.01.22|227.32:1|true|true|true|true|2010/02/02|-|%|%|18500|23.33%|15750
노터스|20000|대신증권|2019.11.07~11.08|2019.11.07|2019.11.08|2019.11.07|17000~20000|17000~20000|17000~20000|8500|8500|699.46:1|0.59%|2019.11.14~11.15|2019.11.14|2019.11.15|22.31:1|true|true|true|true|2019/11/27|25500|0.59%|27.5%|29750|48.75%|36500
제너시스템즈|3500|한국투자증권|2008.03.10~-|2008.03.10|null|2008.03.10|5500~6500|5500~6500|5500~6500|6160|6160||25.38%|2008.03.17~03.18|2008.03.17|2008.03.18|176.8:1|true|true|true|true|2008/03/26|-|%|%|4700|34.29%|3995
신한스팩4호|2000|신한금융투자|2017.09.27~09.28|2017.09.27|2017.09.28|2017.09.27|2000~2000|2000~2000|2000~2000|10000|10000||-|2017.10.12~10.13|2017.10.12|2017.10.13|8.74:1|true|true|true|true|2017/10/20|-|%|%|2000|0%|1995
티앤알바이오팹|18000|키움증권|2018.11.12~11.13|2018.11.12|2018.11.13|2018.11.12|18000~23000|18000~23000|18000~23000|21600|21600|101.9:1|1.00%|2018.11.15~11.16|2018.11.15|2018.11.16|500.35:1|true|true|true|true|2018/11/28|37700|1.62%|109.44%|16200|-10%|12500
와이엠티|21000|하나금융투자|2017.04.11~04.12|2017.04.11|2017.04.12|2017.04.11|16500~18500|16500~18500|16500~18500|9283|9283|706.16:1|42.75%|2017.04.18~04.19|2017.04.18|2017.04.19|841.57:1|true|true|true|true|2017/04/27|-|%|%|35100|67.14%|31050
브릿지바이오테라퓨틱스|60000|대신증권,KB증권|2019.12.09~12.10|2019.12.09|2019.12.10|2019.12.09|70000~80000|70000~80000|70000~80000|49000|49000|58.85:1|0.06%|2019.12.12~12.13|2019.12.12|2019.12.13|33.52:1|true|true|true|true|2019/12/20|11200|4.67%|-81.33%|62400|4%|54300
유안타스팩3호|2000|유안타증권|2018.04.18~04.19|2018.04.18|2018.04.19|2018.04.18|2000~2000|2000~2000|2000~2000|7000|7000||-|2018.04.25~04.26|2018.04.25|2018.04.26|0.13:1|true|true|true|true|2018/05/08|-|%|%|1980|-1%|1980
엠에스오토텍|5500|HMC투자증권|2010.07.19~07.20|2010.07.19|2010.07.20|2010.07.19|4500~5500|4500~5500|4500~5500|15840|15840||-|2010.07.27~07.28|2010.07.27|2010.07.28|1257.45:1|true|true|true|true|2010/08/06|-|%|%|11000|100%|9350
테이팩스|23000|케이비증권,신한금융투자|2017.10.17~10.18|2017.10.17|2017.10.18|2017.10.17|23000~26000|23000~26000|23000~26000|38180|38180|16.81:1|-|2017.10.24~10.25|2017.10.24|2017.10.25|2.05:1|true|true|true|true|2017/10/31|-|%|%|26600|15.65%|27000
나노스|7000|한화증권|2012.07.17~07.18|2012.07.17|2012.07.18|2012.07.17|6000~7000|6000~7000|6000~7000|10500|10500||-|2012.07.24~07.25|2012.07.24|2012.07.25|438.54:1|true|true|true|true|2012/08/02|-|%|%|9280|32.57%|10650
장원테크|17500|신한금융투자|2016.07.04~07.05|2016.07.04|2016.07.05|2016.07.04|15000~17500|15000~17500|15000~17500|22500|22500|216.32:1|11.30%|2016.07.07~07.08|2016.07.07|2016.07.08|854.49:1|true|true|true|true|2016/07/15|-|%|%|22250|27.14%|17150
코아로직|23000|미래에셋증권|-~-|null|null|-|28000~32000|28000~32000|28000~32000|26450|26450||-|2004.08.03~08.04|2004.08.03|2004.08.04|0.84:1|true|true|true|false|null|null|null|null|null|null|null
바이브컴퍼니|28000|한국투자증권,신영증권|2020.10.12~10.13|2020.10.12|2020.10.13|2020.10.12|23000~28000|23000~28000|23000~28000|14950|14950|1221.45:1|7.96%|2020.10.19~10.20|2020.10.19|2020.10.20|1266.22:1|true|true|true|true|2020/10/28|49850|6.40%|78.04%|40000|42.86%|31300
한화에이씨피씨스팩|2000|한화투자증권|2015.05.26~05.27|2015.05.26|2015.05.27|2015.05.26|2000~2000|2000~2000|2000~2000|13500|13500||-|2015.06.01~06.02|2015.06.01|2015.06.02|310.63:1|true|true|true|true|2015/06/10|-|%|%|2155|7.75%|2120
코오롱플라스틱|4300|대우증권|2011.05.25~05.26|2011.05.25|2011.05.26|2011.05.25|3800~4300|3800~4300|3800~4300|33060|33060||-|2011.06.02~06.03|2011.06.02|2011.06.03|579:1|true|true|true|true|2011/06/15|-|%|%|6900|60.47%|7150
인텍플러스|7000|한국투자증권|2010.12.15~12.16|2010.12.15|2010.12.16|2010.12.15|6000~7000|6000~7000|6000~7000|7000|7000||-|2010.12.21~12.22|2010.12.21|2010.12.22|57.87:1|true|true|true|true|2011/01/05|-|%|%|14000|100%|16100
